817	6	1636
732	6	661
883	6	661
1282	6	1633
899	6	1623
1582	7	146
1404	7	185
1404	6	1348
1598	3	1293
988	5	989
1212	6	661
1438	7	22
931	4	1041
1178	6	1641
1545	1	1160
1565	1	1210
1364	0	703
805	7	504
753	6	661
1422	1	863
1289	7	595
1082	6	661
677	6	661
1536	1	1137
1478	7	109
1541	6	1348
1374	1	734
1501	0	1063
1444	6	1348
613	2	1571
782	4	789
956	6	1623
1607	6	1348
1418	6	1348
1560	0	1197
1387	7	108
1296	6	1637
1399	1	799
1592	0	1279
1300	6	1626
1530	0	968
1101	4	1102
911	6	1623
1504	7	163
956	6	661
1569	3	1220
628	6	612
735	6	1640
1426	7	170
1355	1	686
1379	1	747
1481	3	1022
1286	7	287
866	4	869
989	6	661
1155	7	484
1377	0	1344
910	6	1635
1374	0	731
619	2	1446
1383	3	755
1539	3	1143
1126	6	1640
1234	7	463
705	6	1626
636	2	1599
834	6	661
1613	1	1326
1467	3	984
1611	6	1348
1034	5	1035
632	7	285
1362	0	699
633	2	1519
1355	3	685
1492	6	1348
964	6	661
664	6	1637
1597	3	1291
1071	4	1072
624	2	1394
1095	7	593
1352	6	1348
647	2	1587
647	2	1585
1536	7	202
699	6	1623
637	6	612
1411	0	831
1453	6	1348
891	4	893
1091	6	661
1146	5	1147
1381	1	751
1577	6	1348
1595	7	8
621	2	1469
1483	3	1024
1050	6	1636
1314	7	274
1439	7	80
1147	4	1149
1438	6	1348
1164	5	1165
620	6	612
1247	5	1248
1384	3	757
1179	6	1633
691	7	410
1228	7	469
653	2	1491
1430	0	881
875	7	474
772	5	773
1483	6	1348
1004	5	1005
1441	6	1348
1184	4	1185
652	2	1545
1601	7	193
1561	1	1201
626	2	1512
1436	0	899
940	5	941
1104	7	552
1216	7	595
1264	7	261
900	6	1632
1278	7	284
955	7	595
1377	0	663
1184	6	661
879	7	593
1590	7	22
972	6	1639
793	4	794
1319	5	1320
1591	0	1275
1056	7	231
706	5	707
1466	1	982
1483	1	771
1134	7	609
985	6	661
852	6	1633
1209	5	1210
1465	1	979
646	2	1455
1277	6	661
786	6	1633
1485	6	1348
1441	7	611
1343	6	661
1186	4	1188
1489	6	1348
1203	4	1207
1555	6	1348
1119	7	595
1571	0	1227
1530	6	1348
956	4	958
778	4	779
861	6	661
1619	0	1338
1018	5	1019
1299	6	661
1006	6	661
961	6	1637
1496	3	1050
934	7	595
683	6	1634
1418	0	851
723	6	661
639	2	1534
969	6	1634
1054	7	595
1528	3	1121
755	7	294
1410	0	829
1149	5	1150
978	6	661
618	2	1618
1499	7	134
642	7	569
703	6	1626
842	6	661
895	4	896
1376	0	739
1065	7	595
711	6	1633
1572	0	1228
1230	6	1633
787	5	788
864	7	258
1124	5	1346
852	6	661
648	2	1525
1446	7	72
944	6	661
1538	3	1141
928	6	1633
1097	6	661
1014	7	256
1208	6	1633
1616	1	1334
1129	5	1130
1321	5	1322
1192	4	1193
1064	7	426
1138	6	661
1400	6	1348
1045	4	1043
1028	5	1029
938	6	1637
726	6	661
647	7	285
795	6	1633
1432	0	888
983	7	511
886	6	661
671	6	1630
1177	6	661
1078	7	452
1148	6	661
1391	3	779
851	6	1628
1465	3	728
636	7	285
675	6	661
760	6	1640
1303	6	661
1267	6	661
1460	7	75
678	7	582
1094	6	661
945	6	1633
659	2	1582
1580	1	1248
880	4	882
1099	7	595
615	2	1424
801	5	802
1303	5	1304
638	2	1486
1300	4	1301
1464	3	708
1380	3	748
732	5	733
1148	6	1637
1387	0	766
1184	6	1637
929	6	1622
1159	7	274
1606	0	1304
617	2	1414
1568	7	0
1585	1	1261
1394	0	783
793	7	501
724	6	1632
1401	1	805
1400	3	801
843	7	514
1121	6	1636
1308	4	1306
1511	6	1348
637	2	1517
1406	3	820
901	5	1120
640	7	563
1544	0	1155
1473	6	1348
724	4	725
1214	7	523
1580	6	1348
1484	0	773
1200	6	1641
1005	7	454
733	4	735
892	4	893
807	6	661
1142	7	329
1143	7	593
976	4	708
1576	1	1239
775	7	274
1590	6	1348
1500	7	106
1570	6	1348
1080	6	1633
1553	7	62
1301	7	595
943	6	661
731	4	732
1093	6	661
678	4	679
1203	6	661
1002	5	1003
632	2	1475
1285	6	1641
699	7	271
1270	6	1641
616	2	1507
869	5	870
968	6	1633
1451	6	1348
1586	3	1263
1037	7	274
946	6	1641
1358	0	689
1065	5	1066
1602	3	1301
1481	0	1021
1591	6	1348
692	6	1635
622	2	1501
1210	6	661
1497	0	1051
1367	3	713
1058	6	1637
1106	5	1107
826	7	297
1483	7	144
1131	6	661
1038	6	1639
1481	0	1019
867	5	868
996	7	286
1603	7	132
1135	6	661
642	2	1445
1446	6	1348
830	6	1640
668	4	1102
1602	1	1302
689	4	690
781	5	782
1586	6	1348
863	6	661
1261	6	661
1591	1	1278
1594	0	1282
936	7	262
1555	0	1182
1552	6	1348
1459	6	1348
845	6	661
1531	1	667
651	2	1566
1334	6	1633
1119	6	1641
803	7	588
1330	4	1331
1619	3	1339
1502	7	207
1148	4	1149
1191	6	661
690	7	294
790	6	661
848	4	842
1259	7	319
1235	7	593
1568	3	1218
1515	0	972
944	4	1081
1466	6	1348
1025	7	595
1059	6	1633
981	6	661
875	6	1633
1409	3	828
1162	6	661
1209	6	1641
799	7	245
1248	4	1249
866	6	1628
1465	0	727
854	4	855
1335	6	661
1399	6	1348
1352	1	677
652	6	612
674	6	1635
1575	3	1235
1543	0	1153
1401	3	804
1607	3	1311
1430	0	880
700	7	431
947	4	1081
1117	7	595
1263	6	1634
1134	4	1135
1474	6	1348
1436	6	1348
1232	6	1633
1309	5	1310
1450	1	938
1116	6	661
642	2	1442
1528	7	140
1311	6	1641
838	5	839
935	6	661
1111	4	1112
646	2	1454
638	2	1489
1327	7	331
1266	6	661
1195	6	1636
865	6	1636
1518	0	1101
1330	6	661
1223	5	1224
1057	7	593
1228	6	661
826	6	1635
1172	5	1173
774	7	354
658	7	574
775	5	776
629	2	1362
1473	7	130
1246	6	1633
1534	7	192
1572	6	1348
1549	3	1172
960	6	661
1507	1	1076
1117	6	661
739	6	1622
1574	6	1348
618	2	1616
1135	7	274
1099	6	661
734	6	661
857	7	593
1452	3	943
613	2	1568
1444	1	922
1073	7	308
798	6	1640
1598	6	1348
1146	7	274
700	6	1633
1061	6	1639
923	6	1623
632	2	1473
1496	7	51
740	7	302
1232	4	1233
1519	0	1105
1178	6	661
697	4	698
855	6	661
621	2	1470
1439	1	911
1472	6	1348
1474	1	1005
676	7	593
1577	7	118
906	6	1633
1272	7	595
728	5	979
772	7	593
1589	3	1272
1122	4	1121
1550	1	1175
1572	3	1229
1383	6	1348
1236	4	1238
1515	3	1095
851	6	661
1113	6	1639
1537	1	1140
1292	6	1639
790	7	521
872	4	873
1085	7	253
755	5	756
1322	7	599
1556	3	1185
862	7	595
1533	3	1129
1615	3	1331
1171	4	1164
1557	3	1188
1411	6	1348
902	6	661
1007	6	1633
651	2	1565
1060	6	1634
744	6	1639
1416	0	844
1066	6	1633
1258	7	302
1094	6	1635
631	2	1407
962	6	1623
1576	0	1236
1478	1	1019
1069	6	1634
1535	1	1134
989	7	414
1240	6	1623
1074	4	1075
786	4	787
1553	0	1179
1251	7	378
927	5	928
1440	6	1348
1039	6	1641
1275	4	1277
1342	7	274
1195	6	661
1457	7	165
